image_path,label,occluded,x_max,y_max,x_min,y_min
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207386.png,Yellow,False,638.125,351.0,633.875,342.25
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207386.png,Yellow,False,655.0,360.75,649.5,350.375
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207390.png,Red,False,636.625,355.375,632.25,346.375
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207390.png,Red,False,653.875,364.875,649.25,353.5
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207458.png,Red,False,613.625,364.75,608.875,354.0
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207458.png,Red,False,638.0,353.875,633.125,343.375
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207458.png,Red,False,656.875,363.5,652.875,355.375
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207464.png,Red,False,640.0,355.625,633.0,344.25
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207464.png,Red,False,659.5,366.375,651.875,353.75
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207468.png,Red,False,616.375,361.125,611.5,351.75
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207468.png,Red,False,639.75,350.25,633.125,340.25
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207468.png,Red,False,660.5,360.625,655.125,351.625
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207484.png,Red,False,642.625,349.375,636.875,339.5
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207484.png,Red,False,663.375,362.75,656.75,351.0
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207512.png,Red,False,649.875,346.375,642.125,333.375
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207512.png,Red,False,668.25,355.5,663.125,343.875
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207542.png,Red,False,657.0,353.5,649.375,342.625
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207542.png,Red,False,679.25,365.625,675.125,355.875
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207544.png,Red,False,630.0,366.875,625.125,358.125
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207544.png,Red,False,657.25,355.25,651.875,345.125
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207544.png,Red,False,679.75,366.875,675.375,357.375
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207566.png,Red,False,633.5,360.125,630.5,350.625
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207566.png,Red,False,662.5,347.75,659.125,340.5
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207566.png,Red,False,686.25,358.875,683.25,350.0
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207642.png,Red,False,635.375,362.75,632.25,355.875
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207642.png,Red,False,668.125,347.75,665.875,341.125
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207642.png,Red,False,697.5,361.625,694.25,354.125
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207840.png,Red,False,649.25,350.625,643.625,337.375
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207840.png,Red,False,607.25,365.0,601.125,352.375
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207840.png,Red,False,709.375,322.125,703.75,308.0
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207840.png,Red,False,760.375,350.125,752.5,335.375
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207840.png,Red,False,767.0,344.375,760.0,329.75
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207858.png,Red,False,637.875,372.125,630.5,356.0
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207858.png,Red,False,682.375,354.625,676.25,341.625
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207858.png,Red,False,748.0,326.125,742.0,310.125
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207858.png,Red,False,803.125,355.75,795.875,339.75
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207858.png,Red,False,811.875,350.875,804.25,333.75
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207864.png,Red,False,646.75,369.25,640.5,352.125
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207864.png,Red,False,693.5,351.375,687.125,337.5
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207864.png,Red,False,761.125,322.25,753.875,306.125
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207864.png,Red,False,817.375,354.125,809.625,336.875
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207864.png,Red,False,826.75,347.375,819.0,330.75
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207882.png,Red,False,661.0,361.0,653.625,342.375
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207882.png,Red,False,710.125,342.0,703.0,327.75
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207882.png,Red,False,783.25,309.5,776.375,291.25
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207882.png,Red,False,844.625,341.75,836.5,325.25
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207882.png,Red,False,856.875,336.375,848.625,317.625
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207896.png,Red,False,856.375,338.125,849.5,322.625
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207896.png,Red,False,871.5,331.875,862.375,313.5
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207896.png,Red,False,660.25,359.875,653.0,342.0
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207896.png,Red,False,711.875,340.0,706.0,325.25
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207896.png,Red,False,791.75,304.375,784.375,286.875
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207902.png,Red,False,714.625,340.625,707.5,325.375
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207902.png,Red,False,660.375,359.875,653.375,342.25
2017-02-03-11-44-56_los_altos_mountain_view_traffic_lights_bag/207902.png,Red,False,797.25,305.0,787.625,285.5
